N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
28,Otaku,Manga,Quel manga a comme cadre les pays de Westalis et d'Ostania ?,Spy x Family
29,Culture G,Politique,"En France, quelle est la durée du mandat d'un député ?",5 ans
30,Culture G,Politique,"En France, quelle est la durée du mandat d'un maire ?",6 ans
31,JV,Jeu vidéo,"Dans quelle série de jeux se déroulant en partie dans un tribunal peut-on-entendre le protagoniste crier ""Un Instant !"", ""Objection !"" ou ""Prends ça !""",Phoenix Wright / Ace Attorney
32,JV,Zelda,Comment s'appelaient les deux jeux Zelda sortis en duo sur la Game Boy Color et qui intégraient un système de codes qui permettaient de débloquer des contenus dans le second une fois qu'on avait fini le premier ?,The Legend of Zelda Oracle of Ages et Oracle of Seasons
33,Otaku,Light Novel,"C'est l'histoire d'un trentenaire qui meurt et renaît sous les traits d'un petit prodige de la magie dans un monde de fantasy. Ça peut être le synopsis de plein de chose. Mais si je précise que le personnage s'appelle Rudeus, je parle de quelle série ?",Mushoku Tensei (Jobless Reincarnation)
34,Otaku,Light Novel,Quelle série de light novels de fantasy adaptée à 4 reprises en animé à partir de 2006 a engendré tant de fanfictions et de vocations d'auteurs de webnovels qu'elle est considérée aujourd'hui comme la pionnière de l'isekai moderne ?,Zero no Tsukaima
35,Otaku,Animé,Un duo de tueurs à gage se retrouve à devoir s'occuper d'une petite fille trop énérgique qui va pas leur faciliter la tâche. C'est le picth de quel animé de 2023 ?,Buddy Daddies
36,Otaku,Divers,C'est quoi le principe d'un maid café ?,Un café mais dont les serveuses sont déguisées en soubrettes/maid
37,Otaku,Animé,Quel animal sert de mascotte au café TonToKochon dans l'animé Akiba Maid Wars ?,Un panda... cherchez pas la logique.
38,Otaku,Pokémon,"Comment s'appelle le dresseur qui accompagne Sacha tout au long de la série Pokémon, les voyages (Pokemon Journeys / Pokemon 2019) ?",Goh
39,Otaku,Manga,"Dans Made in Abyss, le mal de l'Abysse frappe les explorateurs chaque fois qu'ils remontent d'un palier. Quelles sont les conséquences pour ceux qui essaient de remonter du 6e Palier ?",Ils meurent ou perdent leur humanité
40,Otaku,Manga,Comment s'appelle l'héroïne lapine surpuissante dans My Hero Academia ?,Mirko (Rumi Usagiyama)
41,Otaku,Animé,"Si on se fie au titre de la série dont elle est le personnage principal, qui est Yuuki Yuuna ?",Une héroïne (Yuuki Yuuna is a Hero)
42,Otaku,Animé,"Quel légume fait-on pousser dans la série Gundam ""The Witch From Mercury"" ?",Des tomates bien rouges
43,Otaku,Animé,Quel manga de Rumiko Takahashi a eu droit à une seconde adaptation animé en 2022 ?,Urusei Yatsura (Lamu)
44,Otaku,Animé,"Au total, en combien de parties a été diffusé la saison ""finale"" de l'Attaque des Titans ?","Quatre (partie 1, 2, 3a, 3b)"
45,JV,Jeu Vidéo,"Quelle grande franchise japonaise débutée en 2005 a connue de nombreuses itérations telles que ""Cinderella Girls"", ""Shiny Colors"", ""Million Live"" ou encore ""SideM"" ?",THE iDOLM@STER
46,Otaku,Animé,"""the Natural"", ""the Origination"","" the Avvenire"", ""the Crepuscolo"", ""the Benedizione""... Qu'est-ce que c'est que cette liste ?","Ce sont les différentes saisons / parties de l'animé ""Aria""."
47,Culture G,Art,"Qu'elle est la particularité anatomique du dessin de Léonard de Vinci ""L'Homme de Vitruve"" ?",Il a 4 bras et 4 jambes.
48,Culture G,Littérature,Pourquoi le roman Fahrenheit 451 s'appelle-t-il ainsi ?,C'est (en théorie) la température à laquelle le papier brûle sans exposition directe à une flamme.
49,Culture G,Dessin animé,"Dans les Supers Nanas, quel ingrédient a ajouté par accident le Professeur Utonium dans sa recette pour créer des petites filles parfaites ?",L'AGENT CHIMIQUE X
50,Culture G,Dessin animé,"Dans les Supers Nanas, quels sont au départ les ingrédients pour créer une petite fille parfaite ?","DU SUCRE, DES ÉPICES, ET DES TAS DE BONNES CHOSES."
51,Otaku,Animé,"A six près, combien de mois se sont écoulés entre la fin de diffusion de la saison 1 de l'Attaque des Titans et le début de diffusion de sa saison 2 ?",42 mois (du 29 septembre 2013 au 1er avril 2017)
52,Culture G,Géographie,"Quel est le nom de l'avenue qui longe la baie des Anges, à Nice ?",La promenade des Anglais
53,Culture G,Transports,"Dans le code de la route, quel moyen mnémotechnique est utilisé pour bien tenir le volant quand on conduit ?",à 10h10 ou 9h15
54,Otaku,Animé,"A ce jour, combien il y a eu de séries animés sur Love Live ?","4 (School Idol Project, Sunshine, Nijigasaki, Superstar)"
55,Culture G,Jeu de société,"Conventionnellement, de quels couleurs sont les jetons au Puissance 4 ?",Jaune et rouge
56,Culture G,Sport,Qui est le seul joueur de l'histoire du football a avoir gagné 3 coupes du monde ? Indice : il est brésilien (ça alors),Pelé
57,Culture G,Publicité,"Selon la pseudo légende, quelle compagnie a donné sa couleur rouge au père Noël ?",Coca-Cola
58,Otaku,Manga,"Dans le manga ""The Duke of Death and His Maid"", quel pouvoir totalement pas pratique possède le personnage principal ?",Tout ce qu'il touche MEURT.
59,Culture G,Maths,Que donne MCMLXIX en numérotation arabe ?,1969 (nice)
60,Culture G,Jeu de société,"Au Monopoly, quelle ""famille"" compte au total 4 biens achetables de chaque côté du plateau ?",Les gares / compagnies de chemins de fer
61,Culture G,YouTube,"Selon le Joueur du Grenier, que consomment les développeurs ? (en particulier quand ils font des jeux sans queue ni tête)","""Mais ils ont pris de la drogue !"""
62,JV,Smash Bros.,Combien d'opus de la série Smash Bros. sont jouables avec la manette GameCube ?,"4 (Melee, Brawl, Smash 4, Ultimate)"
63,Otaku,Animé,Quel film d'animation a réalisé Ayumu Watanabe en 2019 ? Les Enfants de la baleine ou Les Enfants de la mer ?,Les Enfants de la mer
64,JV,Pokémon,"Sous quel nom connait-on mieux le Pokémon appelé ""Jigglypuff"" en anglais ?",Rondoudou
65,Culture G,Musique,"Selon le générique, qu'est-ce qui est ""rond comme un ballon et plus jaune qu'un citron"" ?",C'est Pac-Man !
66,Culture G,YouTube,Dans quelle émission sur Internet un passionné de cinéma parle de films tout en combattant les Pseudonymes avec Monsieur le Régisseur Moustachu Farfelu ?,Chroma
67,Otaku,Vocaloid,Quel légume est associé à Hatsune Miku depuis qu'il a été utilisé pour la reprise d'une chanson populaire Finlandaise ?,Le poireau
68,Otaku,Animé,"Dans combien d'épisodes peut-on voir l'opening de la seconde partie de Re:Zero saison 2, sachant qu'elle en dure 12 ?",Seulement 2 épisodes
69,Otaku,Manga,"Dans Assassination Classroom, où se trouve le coeur du professeur Koro ?",Sous sa petite cravate
70,Culture G,Sport,Qui a inventé la Coupe du Monde de Football et a aussi donné son nom au premier trophée ?,Jules Rimet
71,Culture G,Sport,Qui est le plus grand buteur de l'histoire du foot français ?,Olivier Giroud (53 buts)
72,Culture G,Sport,"Si je fais de l'athlétisme et que je cours le 100m, sur quoi dois-je positionner mes pieds pour prendre un meilleur départ ?",Des starting blocks
73,Culture G,Sport,Vrai ou Faux ? Jadis les Jeux Olympiques d'été et d'hiver se tenaient la même année.,"Vrai, jusqu'en 1992"
74,Culture G,Mécanique,De quelle couleur sont les boîtes noires dans les avions ?,Rouge / orange
75,Culture G,Mécanique,Comment se nomme cette chaîne YouTube sur laquelle 2 trublions font du tuning de Multipla et testent des belles bagnoles ?,Vilebrequin
76,Culture G,Géographie,"Quel est le plus grand désert du monde avec 13,8 millions de km² ?",L'Antarctique
77,Otaku,VN,À quelle période se passe l'action d'Higurashi no Naku Koro ni ? mai 1982 / juin 1983 / juillet 1984 / août 1985 ?,Juin 1983
78,Culture G,Langue,"Quel est le mot le plus long de la langue française ? ""Anticonstitutionnellement"" ou ""Intergouvernementalisations"" ?",Le 2e mot
79,Culture G,Musique,"Quel est l'autre nom du ""Chant de guerre pour l'Armée du Rhin"" ?",La Marseillaise
80,Culture G,Musique,"Qui a écrit ""La Marseillaise"" ?",Rouget de Lisle
81,Culture G,Politique,Qui fut le premier président des États-Unis ?,George Washington
82,Culture G,Histoire,Quel est la dernière des Sept Merveilles du Monde antique encore debout ?,La pyramide de Khéops / Gizeh
83,Culture G,Histoire,Comment se nommait Paris au temps des Gaulois ?,Lutèce
84,Culture G,Télévision,"Quel était l'ancien nom des ""Guignols de l'info"" durant les 2 premières années de sa diffusion ?",Les Arènes de l'info
85,Culture G,Télévision,"Diffusé sur TF1 depuis 1982, ""Le Bébête show"" fut en concurrence avec une autre émission similaire de Canal+ à partir de 1988, laquelle ?",Les Guignols de l'info
86,Culture G,Publicité,"Olivier de Carglass, il peut te réparer l'impact sur ton pare-brise MAIS seulement s'il est plus petit que... ?",qu'une pièce de 2€
87,Culture G,Sport,Où se détoulait l'arrivée du Tour de France avant de s'installer sur l'avenue des Champs-Élysées ? (3 réponses possibles),Ville d'Avray (1903-1904) / Parc des Princes (1905- 1967) / vélodrome de la Cipale (1968-1975)
88,JV,Pokémon,"Fushigidane, Hitokage, Zenigame. Dans quel jeu japonais puis-je croiser ces 3 créatures ?","Pokémon (noms japonais de Bulbizarre, Salamèche et Carapuce)"
89,Culture G,Disney,En quelle année a ouvert le Parc Disneyland de Marne-la-Vallée ?,Le 12 avril 1992
90,Culture G,Disney,"Le ""Parc Disneyland"" de Marne-la-Vallée portait un autre nom avant, lequel ?",Euro Disneyland (de 92 à 94)
91,Otaku,Manga,Comment s'appelle ce chat bleu venu du futur qui eu droit à une très longue adaptation animée à partir de 1973 ?,Doraemon
92,Otaku,Manga,Qu’est-ce qui ne peut pas être modifié une fois qu’il a été inscrit dans le Death Note ?,Le nom de la personne
93,Otaku,Manga,Quelle est la mort par défaut si elle n’est pas précisée dans le Death Note ?,L'arrêt cardiaque
94,Otaku,Jeu Vidéo,À quelle époque du Japon se déroule l'action des premiers jeux Sakura Wars ?,L'Ère Taishô
95,Japon,Histoire,Dans quelle ère du Japon sommes-nous actuellement ?,L'Ère Reiwa
96,Japon,Histoire,"Quelle ère du Japon a durée pile 30 ans, de 1989 à 2019 ?",L'Ère Heisei
97,Otaku,Jeu Vidéo,Où se déroule l'action de Sakura Wars 5 ?,À New York
98,Random,Magasin,"À Ikea, on pouvait acheter un Blåhaj, une peluche devenue assez populaire sur les réseaux sociaux. Que représente cette peluche ?",Un requin tout mignon !
99,Otaku,Animé,"Quel est le point commun entre les séries animée ""HeartCatch PreCure"", ""Magical Doremi"" et ""My Hero Academia"" ?",Elles ont le même chara-designer : Yoshihiko Umakoshi
100,JV,Jeu Vidéo,Où se déroule l'action de Sakura Wars 3 ?,"À Paris, honhon !"
101,Culture G,Bande dessinée,Comment Picsou a-t-il obtenu son premier sou ?,En cirant les chaussures d'un passant
102,Culture G,Sport,"À 3 près, combien de buts a marquée l'équipe de France lors de la Coupe du monde 2002 en Corée ?",0 :(
103,Culture G,Cinéma,Peux-tu me citer au moins un des 3 acteurs qui ont incarnée Spider-Man au cinéma ?,"Tobey Maguire, Andrew Garfield, Tom Holland"
104,Culture G,Tech,Quel est ce petit appareil vendu par Google qui permet de diffuser le contenu d'un écran ou d'une application sur une télé ?,Le Chromecast
105,Culture G,Magasin,Que cache le logo de Carrefour ?,"Un ""C"" en espace négatif ! :O"
106,Random,Maths,"Selon Jean-Claude Van Damme, que fait 1+1 ?",1. Ou 11. Et ça c'est beau.
107,Culture G,Politique,En quelle année s'est déroulé le référendum qui a plus tard amené le Brexit ?,2016 (et donc 4 ans pour se mettre d'accord)
108,Culture G,Économie,Combien vaut 1 euro en Francs Français ?,"6,55957 FR"
109,Culture G,Économie,Combien y a-t-il de pièces de monnaie différentes en euro ?,8
110,JV,Jeu Vidéo,"Au Japon il s'appelle Dr. Eggman, mais en occident, jusqu'à Sonic Adventure, il s'appellait... ?",Dr. Robotnik
111,Otaku,Animé,"Comment se nomment les 2 célèbres courts-métrages produits en 1981 et 1983 par les futurs créateurs du studio Gainax ? Mais si là, avec la bunny girl qui surfe sur une épée.",Daicon III & IV
112,Otaku,Animé,Sauras-tu me donner le nom de la série Gundam qui est sortie en l'an 2000 ?,Turn A Gundam
113,Culture G,Cinéma,"Le long-métrage ""La planète des singes"" de 1968 a donné lieu à des suites, formant une ""première série de film"", mais combien de suites exactement ?","4 (Le secret, Les évadés, La conquête, La bataille)"
114,Culture G,Cinéma,"Dans quel ""James Bond"" Daniel Craig a-t-il débuté ?","Casino Royale, en 2006"
115,Culture G,Cinéma,"Dans ""Retour vers le futur"", comment s'appelle le chien du Doc ?",Einstein (ou Copernic en 1955)
116,Culture G,Géographie,Dans quelle hémisphère se situe l'Inde ?,Hémisphère nord
117,JV,Pokémon,Contre quoi sont immunisés les Pokémon de type sol ?,Les attaques électrik
118,JV,Pokémon,Que se passe-t-il si mon Sabelette lance une attaque séisme sur un Libégon ?,"Rien du tout, Libégon a la capacité spéciale ""lévitation"" qui l'immunise des attaques de type sol"
119,JV,Pokémon,"Combien y a-t-il de types de Pokémon, disons à 3 prêt ?",18
120,JV,Console,Quelle est la console de jeu la plus vendue de tous les temps ?,La PlayStation 2 avec + de 155 millions de ventes (dans un mouchoir de poche avec la DS)
121,Culture G,Cinéma,"Si un jour on papote cinéma toi et moi, que t'évoque la date du 21 octobre 2015 ?","C'est la date à laquelle Marty et Doc arrivent dans le """"""futur"""""""
122,Culture G,Cinéma,Quelle est la vitesse nécessaire pour voyager dans le temps selon Doc Brown ?,88 MILES À L'HEURE !!!
123,JV,Pokémon,Quel est le nom japonais du Pokémon Sulfura ?,Fire (Artikodin c'est Ice et Electhor c'est Thunder)
124,JV,Pokémon,Quels sont les noms des 2 teams de méchants dans les jeux Pokémon se déroulant à Hoenn ?,Team Aqua & Team Magma
125,JV,Pokémon,C'est quoi le nom de l'équipe des méchants dans Pokémon Soleil & Lune ?,"La Team Skull, yo"
126,JV,Pokémon,"Dans Pokémon, quel est la team de méchants qui sévit dans la région de Sinnoh ?",La Team Galaxie
127,JV,Pokémon,"Dans la saga Pokémon, quel est le nom de l'organisation de méchants de la région d'Unys ?",La Team Plasma
128,JV,Pokémon,"Quel Pokémon légendaire est ""le maître des Golems"" ?",Regigigas
129,JV,Pokémon,C'est quoi le nom de ce paquebot que tu visites à Carmin sur Mer dans les premières versions de Pokémon ?,L'Océane
130,Japon,Magasin,Peux-tu me citer une enseigne de konbini au Japon ? ,7-Eleven / Lawson / FamilyMart / Ministop / Seiko Mart / Coco Store
131,Otaku,Convention,"Peut-tu me citer un des lieux qui a hébergé Japan Expo avant 2006, date du déménagement à Villepinte ?","Epita Kremlin-Bicêtre, Espace Austerlitz, CNIT La Défense"
132,JV,Mario,À partir de quel Mario Kart le mode Miroir est-il apparu ?,Mario Kart 64
133,JV,Mario,"Cite-moi 2 modes ""Bataille"" de la série Mario Kart, tous jeux confondus. Maintenant.",Bataille de ballons / Explosion Bob-Omb / Voleur de soleil / Pilotes soleil / Chasse aux pièces / Traque sur la piste
134,JV,Mario,"Dans Mario Kart Wii, quel est le personnage que, genre, 95% de la communauté speedrun utilise pour pulvériser les contre-la-montre ?","Funky Kong, une moto, et en avant Guingamp"
135,JV,Jeu Vidéo,"Quelle est l'arme principale et iconique de la série de jeu ""Worms"" ?",Le bazooka
136,JV,Jeu Vidéo,"Dans quelle série de jeu vidéo tu peux tuer tes ennemis avec des bombes banane, des moutons volants, des grenades bénites, un âne de béton et même une pichenette ?",Worms
137,JV,Pokémon,"Avant de s'appeller Pocket Monsters, la franchise Pokémon portait un autre nom lors des balbutiements de sa création, est-ce que tu le connais ?",Capsule Monsters (on a presque eu Capmon)
138,JV,Pokémon,Vrai ou Faux ? Red a déjà parlé dans un jeu Pokémon.,"Maintenant, oui ! Dans Pokémon Masters, il dit ""les mots ne sont pas nécessaires""."
139,JV,Pokémon,"Hormis son légendaire Pikachu, quel Pokémon possède Red dans son équipe lorsque tu l'affrontes à la fin de Or / Argent / Crystal ?","Mentali, Ronflex, Florizarre, Dracaufeu et Tortank"
140,Otaku,Simulcast,"Quel a été le tout premier animé que Wakanim ait simulcasté, en octobre 2010 ?",Que sa volonté soit faite / The World God Only Knows / Kami Nomi zo Shiru Sekai
141,JV,Pokémon,Quel est le TOUT PREMIER Pokémon a avoir été imaginé et designé par les créateurs de la franchise ?,Rhinoféros
142,JV,Pokémon,"Selon la mythologie de la saga, quel est le Pokémon le plus puissant et le plus important qui ait jamais existé ?",Arceus (il a juste crée l'Univers)
143,Otaku,Animé,"Comment s'appelle le réseau social qui est au cœur du film ""Summer Wars"" de Mamoru Hosoda ?",OZ
144,Culture G,Musique,"Si tu viens pas de la cité mais que le beat est bon, tu viens pas de Paname, mais de...",Marly-Gomont (95% de vaches 5% d'habitants)
145,Culture G,Internet,Quel est cette plate-forme d'origine japonaise crée en 2007 et qui est l'un des plus gros sites de partage de dessins au monde avec DeviantArt ?,Pixiv
146,Otaku,Light Novel,"Quel autre light novel populaire a écrit Tsukasa Fushimi, l'auteur de Eromanga-sensei ? (également illustré par Hiro Kanzaki)",OreImo
147,Otaku,Animé,"Vrai ou Faux ? Le jeu ""Tsukihime"" a été adapté en anime.","Quoi qu'on en dise, c'est vrai."
148,Otaku,Animé,Est-ce que tu peux imiter Mayoi Hachikuji en prononçant mal le prénom du héros de Bakemonogatari ?,"Pardon, ma langue a fourchée (ﾉ≧ڡ≦)"
149,JV,Overwatch,"Après la sortie officielle du jeu, quel a été le tout premier héros ajouté dans Overwatch ?",Ana
150,Otaku,Manga,De quel personnage / manga est inspiré le logo de 4chan ?,Du personnage de Yotsuba dans le manga du même nom (les 4 couettes vertes)
151,Culture G,Internet,Qui est le pseudo derrière la création de 4chan en 2003 ? Deux bonbons si tu me donne sa vraie identité,"Christopher Poole, dit ""moot"""
152,JV,Overwatch,"Dans Overwatch, en quoi consiste la capacité ultime de Winston ?",Il passe EN MODE FURAX et il file des grosses patates de forain à ses adversaires
153,Culture G,Cinéma,"Dans ""Astérix & Obélix : Mission Cléopâtre"", selon Amonbofis, le lion...","... ne s'associe pas avec le cafard (et pas ""Le nion n'a jamais eu de placard"")"
154,Otaku,Animé,Attention spoil : Qui est le 18e ange dans la série TV Evangelion ?,Nous ! (les Lilins)
155,Otaku,Animé,"Tu connais peut-être très bien Evangelion, mais peux-tu me donner l'autre nom de Nagisa Kaworu ?",Tabris
156,Otaku,Animé,Dans quelle ville européenne se déroule la première scène de Evangelion 3.0+1.0 ?,Paris
157,Otaku,Animé,Dans quelle série animé le héros doit-il se battre contre un octaèdre bleu géant ?,Neon Genesis Evangelion
158,Otaku,Animé,"On sait ce qu'est le Second Impact dans Evangelion, mais alors qu'est-ce que le First Impact ?",C'est la météorite qui a percutée la Terre avant de former la Lune.
159,JV,Overwatch,"Dans Overwatch, comment s'appelle le petit robot compagnon de Mei ?",Flocon / Snowball
160,Otaku,Manga,"Dans quelle oeuvre faisons-nous la rencontre de Maetel, une grande femme blonde tout de noir vêtue qui voyage en train ?",Galaxy Express 999
161,JV,Console,Vrai ou Faux ? Il a existé plusieurs versions de la Game Boy Advance SP.,"VRAI, les versions numérotées ""AGS-101"" avaient un bien meilleur rétro-éclairage que les ""AGS-001"""
162,Otaku,Manga,Quel manga d'Osamu Tezuka adapté en film d'animation en 2001 est nommé en hommage à un célèbre film de Fritz Lang sorti en 1927 ?,Metropolis
163,JV,Console,Comment se nomme cette Game Boy sortie seulement au Japon qui possédait un rétro-éclairage 5 ans avant la Game Boy Advance SP ?,Le / La Game Boy Light
164,Culture G,Politique,Quel est le seul président à avoir dirigé la France pendant pile 12 ans ?,JACQUES CHIRAC (un mandat de 7 ans puis un mandat de 5 ans)
165,Random,Nourriture,"A 100 près, tu peux me dire combien de combinaisons différentes du Happy Meal sont possibles en 2019 selon le site de McDonald's?",675
166,JV,Pokémon,Quelle est la version complèmentaire de Pokémon Or et Argent ?,Pokémon Cristal
167,JV,Pokémon,C'est quoi ce jeu spin-off de Pokémon qui a un smiley dans son nom ?,Pokémon XD
168,JV,Pokémon,Dans quelle série de jeu Pokémon le stylet de la Nintendo DS était indispensable pour les capturer ?,Pokémon Ranger
169,Otaku,Pokémon,"Dans la toute première saison de Pokémon, pourquoi Ondine suivait-elle initialement Sacha dans ses aventures ?",Pour qu'il lui rembourse sa bicyclette fracassée par Pikachu
170,Otaku,Manga,Peux-tu me donner un des deux rôles qu'occupe Miko Iino au sein de l'Académie Shūchiin dans Kaguya-sama Love is War ?,Inspectrice des finances du BDE / Membre du comité de discipline
171,Culture G,Musique,Quel groupe moldave a signé le tube Dragostea din tei en 2002 ?,O-Zone
172,Otaku,Manga,Quel sport plutôt estival pratiquent les héroïnes de Harukana Receive ?,Le beach volley
173,Culture G,Littérature,À l'oeuvre de quel grand auteur américain du 20e siècle le titre du manga Banana Fish fait-il référence ?,J. D. Salinger (et plus précisèment à la nouvelle A Perfect Day for Bananafish)
174,Otaku,Manga,"Dans Banana Fish, c'est quoi le/la banana fish ?",Une drogue
175,Otaku,Manga,De quelle grande oeuvre de la littérature anglaise le manga Boarding School Juliet (Kishuku Gakkō no Juliet) est-il très librement inspiré ?,"Roméo et Juliette (en France, le manga est sorti sous le titre Romio vs Juliet)"
176,Otaku,Manga,"Quelle est la profession d'Aoba Suzukaze, l'héroïne de New Game! ?",Elle est graphiste / character designer dans une entreprise qui développe des jeux vidéo
177,Otaku,Manga,"Quel manga, dont l'adaptation animée a connu deux saisons, se déroule dans une entreprise nommée Eagle Jump",New Game!
178,JV,Jeu Vidéo,"En anglais, on l'appelle Witcher, mais en français, c'est quoi le nom de la profession de Geralt de Riv, le héros de The Witcher ?",Sorceleur
179,Culture G,Histoire,"À quoi a-t-on donné les petits surnoms ""Little Boy"" et ""Fat Man"" ?",Aux bombes atomiques larguées sur Hiroshima (Little Boy) et Nagasaki (Fat Man)
180,Otaku,Manga,"Comment s'appelle ce personnage enigmatique dont on a pu suivre les Souvenirs, Errances, Mirages et Rêveries en manga chez Ki-oon ?",Emanon
181,Otaku,Manga,"Dans Yuru Camp / Au grand air, il se passe quoi si Aoi ou sa petite soeur me disent des trucs en tirant une tronche un peu chelou ?",Elles sont en train de raconter des gros bobards
182,Otaku,Manga,"D'après le titre français de ce manga publié chez Noeve Graphx, qui doit arrêter de me chauffer ?",Nagatoro
183,Otaku,Animé,À quel loisir créatif s'adonnent les héroïnes de la série animée Let's Make a Mug Too ?,À la poterie
184,Otaku,Animé,À quel club appartiennent les héroïnes de la série animé Do It Yourself! ?,Le club de DIY /  de bricolage
185,Otaku,Animé,Quel est l'objectif des héroïnes de la série animé Do It Yourself! ?,Construire une cabane dans les arbres
186,Otaku,Manga,Quelle activité de plein air pratiquent les héroïnes de Yama no Susume ?,L'alpinisme / la randonnée en montagne
187,Otaku,Manga,Quelle activité de plein air pratiquent les héroïnes de Au grand air ?,Le camping (de préférence hors saison touristique)
188,Otaku,Manga,Quelle activité de plein air pratiquent les héroïnes de Slow Loop ?,La pêche
189,Otaku,Manga,De quelle célèbre œuvre de fiction Moriarty the Patriot est-il une adaptations très libre ?,Sherlock Holmes
190,Otaku,Manga,"Quelle solution a trouvé le personnage principal de la comédie romantique Girlfriend, Girlfriend pour ne froisser aucune des deux filles avec qui il partage un amour réciproque ?",Il sort avec les deux. Et elles le savent. C'est un trouple.
191,Otaku,Manga,"Quel manga mettant en scène une famille maudite a débuté à la fin des années 1990, a été adapté une première fois en animé en 2001, puis à nouveau en 3 saisons à partir de 2019 ?",Fruits Basket
192,Otaku,Light Novel,"D'après le titre de cet isekai, qu'a fait La Sorcière invincible pendant 300 ans ?","Elle a tué des slimes (La Sorcière invincible, tueuse de slimes depuis 300 ans)"
193,Otaku,Animé,Comment s'appelle l'émission de télé-réalité à laquelle participent les héroïnes de l'animé d'idols Selection Project ?,Selection Project
194,Otaku,Manga,"Son nom, c'est Hitori Gotô. Elle est guitariste et elle fait du rock. C'est quoi son surnom ?",Bocchi
195,Culture G,Littérature,"Dans Harry Potter, quel poste à Poudlard est considéré comme maudit ?",Celui de professeur de défense contre les forces du mal
196,Culture G,Littérature,"Dans Le Seigneur des Anneaux, qui est l'héritier du trône du Gondor ?",Aragorn
